
# Surface 0 of 1 surfaces

# Curve title: "'./Scan/propanol/0-1-6-10-11/RIMP2/scanw.txt' u 1:2:($3-w)"
# Contour 0, label:      7.5
 103.821  137.3  5 
 104.413  138.429  5 
 105.435  140.25  5 
 105.643  140.603  5 
 106.642  142.071  5 
 107.464  143.239  5 
 108.011  143.893  5 
 109.286  145.377  5 
 109.644  145.714  5 
 111.107  147.065  5 
 111.776  147.536  5 
 112.929  148.338  5 
 114.75  149.21  5 
 115.33  149.357  5 
 116.571  149.671  5 
 118.393  149.703  5 
 119.873  149.357  5 
 120.214  149.274  5 
 122.036  148.335  5 
 123.071  147.536  5 
 123.857  146.912  5 
 125.006  145.714  5 
 125.679  144.99  5 
 126.51  143.893  5 
 127.5  142.527  5 
 127.782  142.071  5 
 128.852  140.25  5 
 129.321  139.392  5 
 129.788  138.429  5 
 130.599  136.607  5 
 131.143  135.25  5 
 131.311  134.786  5 
 131.892  132.964  5 
 132.389  131.143  5 
 132.802  129.321  5 
 132.964  128.433  5 
 133.121  127.5  5 
 133.351  125.679  5 
 133.502  123.857  5 
 133.569  122.036  5 

 140.782 -112.929  5 
 141.051 -114.75  5 
 141.239 -116.571  5 
 141.339 -118.393  5 
 141.348 -120.214  5 
 141.263 -122.036  5 
 141.086 -123.857  5 
 140.82 -125.679  5 
 140.469 -127.5  5 

 140.469 -127.5  5 
 140.25 -128.424  5 
 140.022 -129.321  5 
 139.476 -131.143  5 
 138.851 -132.964  5 
 138.429 -134.055  5 
 138.121 -134.786  5 
 137.266 -136.607  5 
 136.607 -137.886  5 
 136.296 -138.429  5 
 135.179 -140.25  5 
 134.786 -140.862  5 
 133.902 -142.071  5 
 132.964 -143.314  5 
 132.455 -143.893  5 
 131.143 -145.349  5 
 130.745 -145.714  5 
 129.321 -147.001  5 
 128.57 -147.536  5 
 127.5 -148.291  5 
 125.679 -149.22  5 
 125.225 -149.357  5 
 123.857 -149.771  5 
 122.036 -149.922  5 
 120.214 -149.639  5 
 119.538 -149.357  5 
 118.393 -148.866  5 
 116.571 -147.608  5 
